neighborhood,house_age,num_bedrooms,num_bathrooms,sqft_living,sqft_lot,num_floors,garage_type,has_pool,house_condition,heating_type,school_rating,crime_rate,renovation_year,price
Uptown,66,2,2,932.0,8065.0,1,Double,0,Fair,Central,3.1,,2022.0,198828
Suburbs,29,5,3,2441.0,8719.0,3,,0,Good,Central,7.2,15.64,2006.0,503709
Rural,66,5,5,2043.0,7977.0,2,,1,Fair,Electric,8.2,5.29,2000.0,328222
Historic,34,2,1,757.0,6693.0,1,Double,0,Good,Electric,7.5,13.03,0.0,263328
Waterfront,27,4,3,2000.0,2531.0,1,,0,Excellent,,3.1,20.1,2023.0,547434
Suburbs,60,3,2,1167.0,8684.0,2,Single,0,Good,Electric,5.4,0.35,2013.0,262850
Suburbs,39,3,2,1118.0,3198.0,1,Double,0,Excellent,Central,9.4,3.73,1995.0,351742
Historic,44,4,3,1687.0,4653.0,1,Single,0,Good,Radiator,7.8,2.04,0.0,403551
Rural,36,3,3,1549.0,5558.0,2,Single,0,Good,Radiator,8.5,1.86,2008.0,285820
Downtown,19,1,1,366.0,5705.0,1,Single,0,Excellent,Central,3.1,1.58,2010.0,221550
Historic,45,2,1,778.0,2279.0,2,Single,0,Excellent,Electric,6.0,1.48,1990.0,240715
Downtown,21,2,1,890.0,4591.0,2,Single,0,Poor,Electric,9.5,3.7,2020.0,214467
Historic,23,1,1,407.0,5739.0,2,,0,Poor,Central,4.3,22.1,2015.0,140418
Suburbs,27,3,2,1482.0,4999.0,3,Double,0,Good,Central,8.8,3.33,1998.0,355028
Midtown,72,3,2,1454.0,3790.0,2,Double,1,Excellent,Central,3.3,5.42,0.0,362533
Suburbs,19,4,3,2074.0,3246.0,1,,0,Excellent,Central,4.8,3.77,2022.0,430067
Suburbs,41,3,2,1172.0,6784.0,2,Double,1,Excellent,Radiator,4.6,11.2,2001.0,302676
Downtown,26,2,1,959.0,3414.0,2,Single,0,Excellent,Central,3.1,1.21,0.0,306694
Suburbs,28,2,1,1009.0,8642.0,1,,1,Excellent,Central,7.8,0.54,2008.0,304527
Uptown,64,5,4,1812.0,9454.0,2,Single,0,Good,Central,8.8,2.91,0.0,441291
Midtown,68,2,1,714.0,5890.0,1,Single,0,Fair,Electric,5.3,4.35,0.0,186598
Suburbs,51,5,3,2309.0,7112.0,2,,0,Excellent,Central,7.2,0.84,2008.0,449546
Suburbs,74,3,2,1402.0,7220.0,2,,0,Good,Electric,4.5,4.94,2022.0,232720
Historic,48,5,4,2142.0,5957.0,1,Double,0,Excellent,Central,4.2,1.48,0.0,486745
Uptown,10,3,2,1071.0,5531.0,1,Double,0,Good,Central,5.9,0.47,2015.0,344501
Rural,73,2,2,860.0,5434.0,2,,0,Good,Central,4.2,12.4,2013.0,164089
Suburbs,39,3,3,4487.121987706857,9190.0,1,Single,0,Fair,Central,8.6,0.22,0.0,319255
Suburbs,19,3,2,1471.0,3555.0,2,Single,1,Fair,Electric,4.7,0.25,0.0,297500
Waterfront,64,4,3,1794.0,2319.0,2,Single,0,Good,Central,3.4,20.95,1999.0,420318
Downtown,19,3,3,1365.0,9256.0,2,,0,Good,Central,9.1,2.16,2006.0,387341
Waterfront,76,1,1,484.0,6594.0,1,Single,0,Good,Electric,9.4,4.2,1997.0,227923
Suburbs,62,4,3,1759.0,9709.0,2,Double,0,Poor,Radiator,7.4,1.06,2014.0,298104
Historic,13,5,5,2013.0,7119.0,2,Single,0,Poor,,3.9,2.83,0.0,305222
Downtown,25,6,5,2367.0,9179.0,1,,0,Poor,Radiator,8.0,0.39,2004.0,399466
Rural,42,3,2,1501.0,,2,Double,0,Good,Central,4.1,0.13,1992.0,250628
Rural,39,1,1,447.0,8058.0,2,Single,0,Poor,Central,4.7,38.48,0.0,56763
Waterfront,30,2,1,949.0,3469.0,2,,0,Excellent,Central,4.7,1.15,0.0,330703
Downtown,5,4,4,1776.0,8809.0,1,Single,1,Poor,Central,8.4,2.44,2021.0,348645
Rural,18,4,3,2055.0,2765.0,2,Single,0,Excellent,Radiator,3.5,4.5,2014.0,446769
Rural,21,5,4,2246.0,5924.0,2,Double,0,Poor,Central,7.6,3.65,,323778
Rural,50,3,3,1642.0,2996.0,3,Single,0,Good,Radiator,4.3,2.24,2007.0,341225
Waterfront,6,5,3,1992.0,3325.0,3,Single,0,Good,Central,6.9,0.1,2020.0,520012
Waterfront,50,4,2,1510.0,2326.0,1,Single,0,Poor,Central,5.1,3.49,0.0,313896
Uptown,66,3,2,1274.0,8752.0,3,,0,Poor,Central,4.4,14.48,2007.0,203914
Suburbs,1,4,3,10462.965601688871,7051.0,2,,1,Excellent,Central,8.0,6.73,0.0,523728
Uptown,57,2,2,1040.0,8912.0,1,Double,1,Good,Central,8.9,6.31,0.0,301640
Rural,30,4,3,1597.0,6416.0,2,Single,0,Fair,Central,9.3,14.64,2016.0,252410
Downtown,58,6,3,2819.0,10529.0,1,Double,0,Fair,Central,5.8,1.07,0.0,507289
Downtown,52,2,2,935.0,,3,Double,0,Good,Central,5.6,18.06,2020.0,291124
Suburbs,37,4,2,1634.0,3219.0,1,Single,0,Excellent,,8.2,20.25,2020.0,414369
Historic,48,3,2,1191.0,6823.0,2,Single,0,Good,Radiator,9.5,3.4,,333453
Historic,1,4,3,1712.0,9462.0,1,Single,0,Fair,Electric,8.7,7.5,0.0,326302
Historic,19,4,3,2030.0,6393.0,2,Single,0,Poor,Central,6.2,0.11,2012.0,299054
Rural,46,5,3,1941.0,5493.0,2,,0,Good,Radiator,6.8,17.48,0.0,334118
Suburbs,67,4,2,1756.0,7216.0,2,Double,0,Poor,Central,3.9,3.01,2002.0,295884
Downtown,2,3,3,1339.0,5865.0,1,Single,0,Fair,Electric,5.2,23.1,2023.0,357561
Suburbs,56,1,1,537.0,1625.0,1,,0,Excellent,Electric,3.8,2.82,2008.0,163250
Suburbs,17,4,4,1642.0,8380.0,2,Double,0,Good,,5.2,5.37,0.0,330370
Downtown,79,3,3,1061.0,2238.0,1,Double,0,Fair,Central,6.3,0.63,0.0,267328
Suburbs,22,4,2,1954.0,4303.0,2,Double,0,Good,,6.6,0.84,0.0,367903
Rural,27,2,2,1002.0,6267.0,1,,0,Fair,Central,5.8,2.97,0.0,159889
Historic,55,5,3,2453.0,9627.0,1,,1,Fair,Electric,3.1,2.4,1990.0,422268
Midtown,32,3,3,1470.0,9105.0,3,Double,0,Poor,Radiator,6.7,0.65,2010.0,284485
Midtown,60,5,4,2233.0,4042.0,1,Single,0,Poor,Electric,5.6,0.19,2023.0,325506
Waterfront,28,4,2,1414.0,3504.0,3,Double,0,Good,Radiator,6.3,7.17,0.0,469643
Suburbs,28,2,2,991.0,4736.0,2,Single,0,Fair,Central,3.6,0.97,2005.0,237818
Waterfront,74,3,3,1611.0,6372.0,1,Single,0,Good,Electric,6.9,10.25,2007.0,356887
Historic,25,5,4,1907.0,9847.0,1,Single,0,Good,Central,8.7,2.67,0.0,434490
Downtown,78,4,3,1454.0,8991.0,1,Single,0,Excellent,Central,3.7,2.83,2016.0,414121
Suburbs,26,3,3,1209.0,8295.0,1,Single,0,Fair,Central,5.0,1.78,2019.0,279928
Uptown,75,6,5,3119.0,6215.0,2,,0,Poor,Central,5.3,1.44,0.0,445947
Suburbs,71,3,2,1113.0,7555.0,1,Double,0,Good,Electric,3.3,2.19,0.0,221967
Rural,17,3,2,1479.0,3374.0,1,Double,0,Poor,Central,6.1,8.27,2011.0,224372
Rural,7,4,4,1450.0,5923.0,2,,0,Fair,Central,,5.73,0.0,260828
Suburbs,56,2,2,713.0,7806.0,2,,0,Excellent,Electric,4.1,13.02,0.0,189529
Suburbs,64,3,3,1584.0,2920.0,1,Single,0,Excellent,Central,7.2,3.4,0.0,350842
Suburbs,20,4,3,2016.0,3581.0,3,Single,0,Good,Central,5.9,8.21,2007.0,377130
Downtown,38,4,3,1878.0,7752.0,1,Double,0,Good,Electric,8.5,1.11,2000.0,448850
Downtown,75,2,1,768.0,8390.0,2,,1,Good,Central,3.0,0.34,2006.0,231817
Uptown,58,4,3,1623.0,6283.0,1,Single,0,Good,Central,9.2,1.49,2021.0,419832
Suburbs,16,3,2,1079.0,4624.0,2,,0,Good,,7.0,9.01,0.0,252761
Rural,51,3,2,1437.0,8553.0,2,,0,Excellent,Radiator,7.8,17.09,,328048
Suburbs,27,4,3,1948.0,6879.0,1,Single,0,Excellent,Electric,5.4,6.14,2004.0,394875
Midtown,51,2,1,830.0,5391.0,2,,0,Good,Central,3.3,2.65,0.0,199368
Suburbs,75,4,3,1670.0,6871.0,1,Double,0,Fair,Central,4.9,8.5,1992.0,296009
Suburbs,16,4,3,1903.0,7532.0,2,Single,0,Good,Central,5.1,5.16,2020.0,396897
Uptown,60,4,4,2156.0,4615.0,2,Single,0,Excellent,Radiator,5.7,0.48,2006.0,484269
Uptown,76,3,2,1286.0,3501.0,2,Double,1,Good,Central,8.0,13.58,0.0,313638
Suburbs,40,3,2,1346.0,6733.0,1,Single,0,Good,Central,8.4,0.75,0.0,361087
Uptown,67,3,2,1468.0,9066.0,1,Single,1,Good,,9.4,3.05,,354257
Rural,2,4,3,1673.0,2193.0,2,Single,0,Good,Central,3.6,21.8,2023.0,301030
Rural,48,3,2,1571.0,4298.0,1,Double,0,Good,Radiator,7.2,1.83,0.0,315282
Downtown,52,3,3,1557.0,4463.0,2,Single,1,Fair,Central,3.9,0.76,0.0,389026
Downtown,24,4,4,1939.0,9685.0,3,Single,1,Fair,Central,8.7,5.99,2022.0,420508
Historic,78,4,3,1829.0,2461.0,2,,1,Poor,,5.4,2.16,0.0,280776
Rural,2,2,2,1093.0,2268.0,1,,0,Good,Central,3.8,4.05,2023.0,211920
Suburbs,65,6,4,2942.0,4068.0,2,,1,Good,Central,5.9,10.59,0.0,489685
Historic,20,2,1,957.0,8611.0,3,Single,0,Fair,Radiator,7.1,0.9,2009.0,243042
Historic,34,3,2,1576.0,7173.0,1,Single,0,Fair,Radiator,9.1,3.52,1997.0,292186
Suburbs,41,3,2,1382.0,2671.0,2,Single,1,Good,Radiator,7.8,0.63,2021.0,341901
Waterfront,41,2,2,797.0,6808.0,2,Double,0,Fair,Electric,7.9,,2006.0,304986
Downtown,75,5,5,1887.0,3377.0,1,Single,0,Fair,Central,7.5,9.46,,360527
Historic,23,3,3,1332.0,8539.0,2,,0,Poor,Central,5.1,5.8,0.0,235851
Waterfront,38,2,2,906.0,4862.0,2,Double,0,Good,Central,3.1,1.06,2008.0,338492
Midtown,44,4,2,2062.0,8789.0,2,,0,Poor,Central,7.3,5.49,0.0,282454
Downtown,67,4,2,1511.0,2806.0,1,Single,1,Good,Central,5.9,3.1,0.0,425704
Downtown,62,6,4,2917.0,8823.0,1,Single,0,Fair,Central,4.5,2.28,0.0,475086
Suburbs,12,3,3,1232.0,5979.0,1,Single,0,Good,Electric,9.7,1.06,0.0,322013
Suburbs,30,3,2,1613.0,9534.0,1,Single,0,Poor,Electric,5.7,1.73,2014.0,253879
Suburbs,65,2,2,888.0,7832.0,1,Single,0,Excellent,Central,4.8,0.19,2017.0,244202
Midtown,41,4,3,1897.0,8931.0,2,,0,Good,Central,3.1,11.22,0.0,401559
Suburbs,20,4,3,1920.0,8693.0,1,,1,Excellent,Radiator,8.4,1.87,2015.0,470454
Suburbs,6,6,3,2209.0,8285.0,1,Single,1,Good,Central,4.2,11.48,0.0,451100
Historic,75,4,2,2081.0,4179.0,1,,0,Good,Central,5.8,14.35,0.0,368504
Suburbs,4,5,4,1914.0,6336.0,2,,0,Poor,Central,7.2,6.03,0.0,257781
Historic,10,6,5,2576.0,9772.0,2,Single,0,Fair,Central,3.5,4.47,2015.0,445453
Downtown,51,3,2,1453.0,3985.0,1,Single,0,Good,Central,6.1,10.1,0.0,369295
Rural,38,2,2,722.0,4382.0,1,Double,0,Fair,Central,3.3,0.41,0.0,139424
Downtown,1,2,2,932.0,3145.0,2,Single,0,Excellent,Radiator,5.9,,0.0,327362
Downtown,8,3,2,1295.0,2124.0,2,Double,1,Fair,Central,,12.91,0.0,330260
Midtown,63,3,2,1088.0,5130.0,2,Double,0,Good,Radiator,3.2,11.31,0.0,269752
Downtown,33,2,2,990.0,3186.0,2,Single,1,Poor,Central,4.4,7.36,2010.0,241223
Rural,15,3,2,1350.0,3940.0,1,Single,1,Poor,Central,7.5,1.39,2018.0,209318
Suburbs,31,3,3,1232.0,,3,Double,0,Good,Central,8.7,5.54,0.0,302344
Suburbs,21,1,1,366.0,,2,Single,1,Excellent,Central,,11.31,0.0,195886
Uptown,3,3,2,1378.0,2952.0,1,Double,0,Good,,3.6,2.22,0.0,363970
Downtown,66,2,1,822.0,4747.0,2,Double,0,Excellent,Electric,3.2,5.15,0.0,264089
Waterfront,35,3,2,1618.0,2794.0,1,,0,Excellent,Central,9.8,2.66,1993.0,471055
Midtown,41,2,1,936.0,7130.0,2,Single,0,Poor,Central,9.4,11.68,0.0,248413
Rural,59,4,3,1628.0,3400.0,1,,0,Good,Radiator,,1.35,1998.0,285899
Midtown,16,2,1,911.0,2761.0,1,Double,0,Poor,Central,6.7,1.65,0.0,193298
Downtown,56,5,4,2289.0,3919.0,2,Single,0,Good,Radiator,5.4,5.71,0.0,480908
Suburbs,45,3,2,1486.0,2162.0,2,Single,1,Good,Central,8.9,0.08,2023.0,356102
Suburbs,59,3,2,1591.0,6315.0,1,Double,0,Poor,Electric,8.4,1.64,2003.0,252047
Historic,50,3,3,1627.0,6130.0,2,Single,0,Good,Central,5.9,1.7,2018.0,380040
Midtown,12,3,2,1480.0,5244.0,1,Double,0,Good,Radiator,5.8,6.02,2013.0,344137
Suburbs,12,2,1,918.0,2535.0,2,Single,0,Good,Electric,6.3,3.54,2015.0,273904
Waterfront,33,4,3,1579.0,3536.0,3,Double,0,Good,Radiator,3.7,0.32,1995.0,478480
Suburbs,49,5,4,2153.0,6844.0,1,Double,0,Fair,Electric,8.0,2.8,0.0,352594
Rural,21,6,4,2686.0,,1,,0,Good,,4.7,23.72,2021.0,443355
Rural,60,4,3,1502.0,7076.0,1,Single,0,Excellent,Radiator,9.9,11.21,2007.0,369807
Midtown,52,3,2,1203.0,3285.0,2,Double,0,Good,Central,,8.46,0.0,254767
Waterfront,54,3,2,1640.0,3941.0,2,Double,0,Fair,Central,5.3,4.83,2006.0,339958
Suburbs,39,4,2,2005.0,,2,Single,0,Poor,Central,7.8,0.68,2010.0,281375
Downtown,49,4,4,1785.0,4060.0,2,Double,0,Good,Central,8.2,11.47,0.0,402427
Suburbs,64,3,3,1185.0,6592.0,1,Single,0,Excellent,Central,7.5,2.23,2013.0,275837
Suburbs,26,5,3,2323.0,6631.0,1,Double,0,Good,Central,6.5,0.93,2002.0,422016
Suburbs,71,3,2,1189.0,2053.0,2,,0,Good,Central,5.3,0.74,0.0,251871
Uptown,7,3,2,1165.0,2180.0,2,Double,0,Poor,Central,4.5,9.4,0.0,245573
Rural,72,6,4,2212.0,3287.0,2,,0,Fair,Electric,7.2,5.04,2022.0,395575
Rural,62,5,5,2095.0,7512.0,2,Single,0,Fair,Electric,,0.57,,338926
Downtown,24,4,3,1833.0,9736.0,1,Single,0,Fair,Central,5.7,9.43,0.0,365651
Uptown,40,3,2,1145.0,5599.0,1,,1,Good,Central,7.0,1.47,0.0,334538
Historic,76,2,1,780.0,8188.0,1,Single,0,Good,Central,7.1,4.56,2018.0,249752
Downtown,47,2,1,856.0,6132.0,2,,0,Fair,Central,9.5,16.15,0.0,241197
Historic,8,4,3,1791.0,8424.0,2,Single,0,Fair,Central,4.1,7.81,0.0,339540
Rural,54,3,3,1507.0,2548.0,2,Single,0,Fair,,6.3,5.59,2017.0,286515
Downtown,9,3,2,1389.0,9127.0,3,Single,0,Good,Central,9.0,7.34,2023.0,369862
Rural,3,3,2,1420.0,2856.0,3,Single,0,Good,Electric,5.0,3.87,2023.0,295970
Rural,54,3,2,1467.0,6016.0,1,Double,0,Excellent,Radiator,6.7,2.62,1993.0,318988
Suburbs,21,3,3,1320.0,7958.0,1,,0,Good,Electric,7.3,0.09,0.0,300365
Midtown,48,5,3,2093.0,3966.0,1,Single,0,Excellent,Central,7.8,0.0,2015.0,485784
Uptown,47,1,1,510.0,3142.0,2,Single,1,Good,Radiator,7.5,13.05,2005.0,211180
Waterfront,68,4,3,2062.0,5107.0,2,Single,0,Poor,Central,6.6,0.54,0.0,334196
Rural,63,3,2,1142.0,8150.0,1,Double,0,Good,Electric,4.6,4.55,0.0,211623
Suburbs,16,4,2,2162.0,9132.0,2,Double,0,Poor,Electric,8.5,4.19,2010.0,330738
Waterfront,74,5,3,2679.0,5718.0,2,,0,Poor,Electric,9.5,4.59,2016.0,436509
Rural,5,3,2,1572.0,4828.0,1,,1,Excellent,Central,7.7,3.52,0.0,368030
Downtown,11,2,1,869.0,6648.0,2,,1,Fair,Electric,5.3,14.63,2016.0,260982
Rural,29,2,1,1036.0,8911.0,2,Double,0,Poor,,10.0,2.15,1995.0,220527
Uptown,79,2,2,951.0,7122.0,1,Double,0,Good,Electric,4.6,1.84,2015.0,252419
Rural,70,4,3,1564.0,8397.0,2,Single,1,Good,Central,10.0,2.26,2008.0,347615
Downtown,48,2,1,1009.0,3262.0,2,Single,0,Fair,Central,6.6,1.15,2015.0,275297
Historic,15,2,2,862.0,3052.0,2,Single,0,Excellent,Central,6.7,6.41,2011.0,295880
Suburbs,34,4,3,1633.0,4682.0,1,Single,1,Good,Central,7.1,2.13,2017.0,403384
Suburbs,60,3,3,1576.0,4034.0,2,Double,1,Good,Central,3.9,0.32,1994.0,346800
Suburbs,62,3,3,1567.0,7309.0,1,Double,0,Fair,Central,7.9,0.62,2004.0,298590
Suburbs,2,3,2,1568.0,2799.0,2,Single,0,Good,Central,6.3,7.34,0.0,341407
Historic,19,4,4,2087.0,8507.0,1,Double,0,Good,Central,5.2,0.51,2017.0,458601
Rural,49,2,1,921.0,2254.0,1,Double,0,Poor,,8.2,1.19,1994.0,198331
Suburbs,78,3,2,1420.0,4072.0,1,Double,1,Fair,Central,8.0,2.35,2019.0,300769
Uptown,28,4,3,2159.0,7345.0,2,Double,0,Excellent,Central,3.3,7.89,2019.0,512917
Uptown,48,3,2,1127.0,7745.0,2,Single,0,Excellent,Radiator,4.9,0.39,2019.0,354995
Uptown,37,4,2,2045.0,7863.0,3,,0,Good,Electric,4.7,1.08,0.0,386976
Suburbs,74,4,2,1821.0,3556.0,1,Double,0,Excellent,Central,5.4,1.11,0.0,382605
Rural,49,4,2,2182.0,9350.0,2,Double,0,Good,,6.0,3.13,0.0,363520
Midtown,48,4,4,1911.0,7370.0,1,Double,1,Good,Central,8.9,2.58,1997.0,472265
Historic,73,4,2,1530.0,2314.0,1,Single,1,Fair,Electric,7.9,8.19,2014.0,319830
Downtown,29,4,3,2052.0,10043.0,1,,0,Good,Electric,9.1,1.62,0.0,478052
Downtown,60,4,4,1938.0,5976.0,1,,1,Fair,Radiator,7.8,0.67,0.0,407154
Rural,29,3,2,1139.0,5872.0,2,Single,0,Good,Radiator,3.8,1.36,0.0,225177
Midtown,58,2,1,703.0,7702.0,1,Single,1,Poor,Electric,6.1,1.89,2013.0,192648
Rural,48,3,3,1376.0,1951.0,1,Single,1,Good,Central,7.5,4.43,2007.0,319924
Rural,23,2,1,796.0,8137.0,2,Single,0,Fair,Central,6.3,2.44,2023.0,207556
Downtown,27,3,2,1570.0,7915.0,1,Double,0,Good,Central,3.8,1.25,0.0,393930
Waterfront,7,3,3,1200.0,2595.0,3,Single,0,Excellent,Central,3.4,0.58,0.0,422505
Uptown,49,6,3,2895.0,5853.0,1,Single,0,Good,Electric,5.5,4.43,2001.0,509165
Suburbs,54,6,5,2514.0,8488.0,3,Single,1,Good,Radiator,8.8,13.87,2017.0,527210
Historic,68,4,2,1680.0,6973.0,1,Double,1,Poor,Central,8.4,1.17,2020.0,318037
Midtown,78,6,5,2318.0,9833.0,3,Single,0,Excellent,Central,9.5,0.67,0.0,572781
Suburbs,42,6,4,2703.0,4947.0,1,Single,0,Excellent,Radiator,6.9,11.91,2017.0,560372
Rural,74,5,5,2329.0,10066.0,2,Single,1,Good,Radiator,6.1,4.53,0.0,455792
Suburbs,59,2,1,932.0,8132.0,1,Single,0,Good,Central,8.6,2.24,1990.0,229310
Historic,44,3,3,1563.0,9408.0,2,,0,Good,Radiator,6.5,0.31,2009.0,335030
Rural,26,3,2,1441.0,6724.0,1,Single,0,Good,Central,,7.09,1998.0,276938
Waterfront,23,2,2,996.0,2434.0,2,Single,0,Good,Central,10.0,6.33,0.0,337157
Historic,73,4,3,1658.0,5499.0,1,Double,0,Fair,Central,3.4,11.39,0.0,307846
Suburbs,8,2,1,868.0,8376.0,3,Single,0,Good,Central,9.4,4.2,,304674
Midtown,53,3,3,1060.0,3267.0,2,Double,0,Poor,Electric,4.3,1.91,0.0,202391
Rural,14,2,1,731.0,5570.0,1,,0,Fair,Central,9.2,0.92,2021.0,194863
Suburbs,71,3,2,1281.0,6032.0,1,Single,0,Excellent,Central,9.5,1.25,1996.0,362120
Waterfront,7,3,3,1175.0,6983.0,2,,0,Excellent,Central,8.5,3.59,2019.0,447759
Historic,9,4,4,2050.0,7579.0,1,Single,0,Fair,Central,9.6,9.4,2023.0,342555
Suburbs,3,3,2,1455.0,,1,Double,0,Good,Central,7.9,11.6,0.0,338583
Uptown,78,3,2,1632.0,7326.0,1,Double,0,Excellent,Central,5.4,3.32,2005.0,359193
Midtown,17,4,3,2109.0,6387.0,1,Double,0,Fair,Central,9.4,0.2,0.0,432332
Suburbs,44,4,4,2182.0,7695.0,2,,0,Poor,Central,3.3,0.63,1994.0,307619
Midtown,46,3,3,1269.0,4725.0,1,Single,0,Fair,,4.6,15.01,2019.0,265526
Downtown,58,2,2,893.0,7629.0,2,Single,0,Excellent,Central,9.2,1.3,1991.0,345545
Suburbs,28,1,1,424.0,1569.0,1,Single,0,Excellent,Electric,7.6,8.55,0.0,191130
Suburbs,14,4,2,2171.0,4910.0,1,,0,Good,,8.7,13.22,2016.0,475112
Uptown,9,3,2,1291.0,2920.0,2,Double,0,Excellent,Radiator,6.3,13.9,2020.0,425745
Waterfront,26,2,2,746.0,2707.0,1,Single,0,Good,,8.5,0.53,2003.0,344986
Suburbs,2,2,2,800.0,3578.0,1,Single,0,Good,Electric,5.8,0.92,2023.0,225635
Suburbs,75,4,3,1739.0,4585.0,1,Single,0,Excellent,Central,4.8,3.09,1997.0,364105
Waterfront,34,3,3,1411.0,9005.0,1,Single,0,Poor,Central,8.2,1.92,0.0,298601
Downtown,19,3,2,1420.0,2971.0,1,Double,0,Excellent,Radiator,4.5,2.27,2011.0,405194
Uptown,39,4,3,2007.0,8964.0,2,,0,Good,Central,4.8,3.71,0.0,377874
Uptown,13,2,2,959.0,1985.0,1,Single,0,Fair,Central,3.6,13.69,2018.0,224335
Rural,5,3,2,1344.0,4555.0,1,Single,1,Poor,Central,7.3,3.35,0.0,222955
Midtown,50,3,2,1068.0,6026.0,1,Single,0,Excellent,Electric,6.1,2.86,2002.0,340029
Suburbs,23,3,2,1467.0,4384.0,1,Double,0,Poor,Electric,8.6,5.35,2020.0,255482
Midtown,29,5,4,1835.0,4472.0,1,Single,0,Good,Electric,3.0,0.76,2014.0,408445
Waterfront,72,3,3,1331.0,3556.0,1,Double,0,Excellent,Central,3.7,3.28,2015.0,430988
Waterfront,26,4,4,2117.0,4345.0,1,Single,0,Fair,Central,7.7,6.42,0.0,454049
Suburbs,79,2,2,938.0,,1,Single,0,Good,,,4.49,0.0,200057
Uptown,57,3,2,1169.0,8434.0,2,Single,0,Excellent,Electric,6.2,6.97,0.0,335147
Suburbs,1,2,1,1023.0,8017.0,1,Single,1,Good,Radiator,6.0,10.85,0.0,266150
Suburbs,28,4,2,1640.0,6680.0,1,,0,Fair,Central,3.4,2.9,2012.0,298480
Downtown,62,3,2,1396.0,5950.0,1,Single,0,Good,Central,9.2,6.4,2009.0,326019
Rural,47,3,2,1431.0,,2,,1,Good,Radiator,7.3,2.61,2010.0,320672
Rural,78,4,2,1984.0,5535.0,2,Double,0,Good,Central,4.4,10.16,0.0,319029
Historic,59,6,5,2177.0,2805.0,1,,1,Fair,Electric,3.3,2.86,0.0,343676
Uptown,31,2,1,1041.0,4694.0,1,Single,0,Good,Central,3.2,5.67,0.0,258334
Downtown,70,2,1,745.0,1453.0,2,Single,0,Fair,Central,7.9,0.04,0.0,194731
Historic,49,2,1,737.0,1282.0,2,Single,0,Fair,Central,9.5,2.54,0.0,194046
Suburbs,5,4,3,1765.0,8900.0,2,Single,0,Fair,Radiator,8.3,4.0,0.0,336576
Uptown,31,2,1,848.0,5407.0,2,,0,Fair,Central,6.0,5.12,2005.0,234726
Uptown,37,3,2,1082.0,1582.0,1,Double,1,Good,Central,9.8,0.97,1999.0,359811
Rural,79,3,2,1149.0,4884.0,1,Single,0,Fair,Central,3.9,5.04,0.0,172417
Historic,15,3,2,1313.0,,2,,0,Fair,Central,,6.89,2021.0,244830
Suburbs,52,2,1,1031.0,7546.0,2,Single,0,Good,Central,8.8,1.64,2011.0,213093
Rural,69,3,2,1122.0,8599.0,2,Single,0,Good,Central,4.1,2.18,2009.0,193511
Uptown,11,2,1,741.0,7843.0,1,Double,0,Good,Central,4.1,12.05,2017.0,274746
Rural,43,2,1,1021.0,3155.0,3,Single,0,Good,Electric,6.8,1.26,,222193
Suburbs,70,3,3,1345.0,2642.0,1,Single,0,Excellent,Electric,8.8,2.29,2022.0,358067
Rural,23,4,3,1688.0,3091.0,2,,0,Excellent,Radiator,5.7,6.39,0.0,361966
Uptown,40,2,2,884.0,5737.0,1,,0,Excellent,Electric,6.5,1.08,0.0,285625
Suburbs,63,3,2,1296.0,4967.0,1,,0,Good,Central,9.7,3.52,0.0,284675
Suburbs,2,2,2,1012.0,3406.0,2,,0,Fair,Central,4.7,6.85,2023.0,229065
Historic,79,4,3,1407.0,7563.0,3,Single,0,Fair,Central,5.2,0.33,2019.0,254876
Uptown,73,4,3,1746.0,7512.0,1,Double,0,Good,Electric,4.7,,0.0,381895
Downtown,47,4,2,1527.0,6877.0,2,Single,1,Excellent,Central,6.4,4.24,2018.0,483331
Suburbs,30,3,2,1234.0,5677.0,2,Single,0,Good,Radiator,4.5,1.49,2002.0,263000
Downtown,16,3,2,1117.0,3678.0,1,,0,Good,Radiator,4.9,,2015.0,334009
Suburbs,59,4,2,1741.0,6766.0,1,,0,Fair,Central,9.6,5.56,2017.0,329797
Rural,47,2,1,957.0,8401.0,1,Double,0,Good,Electric,4.5,3.73,2015.0,157449
Historic,30,4,4,1929.0,5793.0,2,Single,0,Fair,Radiator,8.5,0.78,1994.0,354470
Waterfront,9,4,4,2037.0,3411.0,2,Double,1,Excellent,Central,6.1,5.63,2018.0,641547
Waterfront,65,3,2,1539.0,4884.0,1,Double,0,Poor,Radiator,4.9,0.91,2000.0,264611
Suburbs,59,3,3,1408.0,3911.0,2,,1,Good,Electric,4.8,13.89,0.0,257458
Uptown,64,4,2,1682.0,3923.0,1,Single,1,Excellent,Electric,4.4,0.38,0.0,465569
Rural,8,2,2,720.0,6238.0,1,Single,0,Excellent,Electric,6.0,2.58,2019.0,236010
Midtown,52,3,2,1071.0,2458.0,1,Single,0,Good,Central,5.3,1.67,1995.0,266747
Waterfront,18,3,2,1117.0,1885.0,2,,0,Excellent,Central,6.3,5.52,0.0,422974
Downtown,58,1,1,546.0,,1,Double,0,Excellent,Central,6.7,5.55,0.0,239865
Waterfront,49,2,1,1014.0,5391.0,1,Single,1,Good,Central,3.1,6.98,2009.0,327183
Suburbs,32,3,3,1292.0,7347.0,2,,0,Good,Radiator,8.6,7.57,0.0,297113
Waterfront,48,2,1,886.0,,1,Single,0,Fair,Central,8.2,1.29,2023.0,288574
